Étiquettes de lignes;Somme de Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
Haiti;36760;367803;27713;53945;108140;32639;169482;21063;175073;223172;227362;5410;345229;42071;29377;87059;274577;380459;109015;124633;98216;9727;5899;5497;31120;3875;57091;10912
Honduras;30745;171697;25623;21781;57543;14078;42151;15570;66087;33220;10912;12468;97896;15235;3561;80392;121773;127792;89487;30455;8666;4744;4361;631;6301;1075;10346;1517
Hungary;289033;1178802;434479;226434;362538;93346;866;124449;11218;1080;20696;108456;74576;44437;63679;855173;596024;361437;609714;488;386;7980;42403;0;112;0;187;45
Iceland;757;10884;1064;2754;1272;1093;0;976;184;35;182;889;3;1014;1564;10942;4618;760;5141;0;30;413;461;0;0;0;0;0
India;18615995;30274400;3643418;5106157;7307926;5424099;21921985;5572419;22771946;13619011;2688891;3323743;26483553;3006716;1911544;24186369;18563626;43492775;8634990;15827484;8565706;1743112;2229881;676307;3458584;73303;1588304;609630
Indonesia;2154732;9883765;2101015;785692;461599;1075094;2027501;1164521;1866574;1956183;277662;60627;3166414;818055;437297;5213600;4640495;5307611;2728038;1236623;480447;127033;255160;66677;354832;15953;277161;62794
Iran;1034587;2146839;90120;646418;53540;43394;33134;242177;673125;112312;20082;98020;45310;57834;275736;906869;1125638;1072468;1136455;20277;21948;129961;72683;1378;16643;559;17644;1909
Iraq;561091;1096633;37357;245542;20561;92259;49730;151430;430691;117335;6857;123053;55873;30325;154014;540070;691536;615321;700190;28215;11183;19548;16813;2252;21784;1755;29107;3305
Ireland;29519;196022;11169;31316;43385;17338;23;17837;2804;294;3229;14873;258;11785;31626;214929;67750;29671;82006;43;569;6692;5417;0;0;0;30;0
Israel;76782;225965;16449;56313;12206;4642;228;16203;8563;1091;4384;1063;233;1261;32851;174833;191268;76224;123784;207;437;5915;7823;0;12;0;92;29
Italy;1042464;3761744;354965;936263;1011348;120510;664;274517;32337;9806;78188;157851;9884;92427;490018;2912595;2491583;1041380;1616528;410;3225;192485;188575;0;54;14;302;78
Jamaica;20748;88933;8191;14704;9319;6003;1659;8557;16891;3721;16322;667;12473;5312;17389;44632;106557;33078;70337;1040;2155;822;1493;5;98;33;302;145
Japan;1024720;5314266;1244807;753803;1435734;533168;10173;476718;25839;32639;120419;297622;6670;99705;474510;5866095;2259546;1026034;1264144;2517;56337;272979;194558;0;599;61;739;335
Jordan;59909;134003;4710;34809;3235;9975;1258;20393;44876;7288;1430;3164;311;5656;16494;79458;102672;59915;116864;553;1320;1570;2467;126;951;75;1684;572
Kazakhstan;315434;1473811;199328;350203;321117;149464;10649;123721;66086;44647;28662;139206;139692;45052;83228;691645;546281;452410;701720;9170;8877;59162;12304;409;5270;550;10809;683
Kenya;115663;520989;59759;49721;350267;60813;619085;52531;549619;655920;2027596;23600;669849;42699;6433;254444;260539;784533;224833;462383;388128;190195;22467;49967;110341;6650;139270;23417
Kiribati;406;4164;676;1022;585;795;1382;1272;1214;1281;728;94;3952;665;442;5916;6274;4351;5388;927;289;203;52;49;133;7;85;60
Kuwait;27456;45825;3427;10875;543;2927;69;6170;5433;616;406;2301;85;322;8270;26674;31481;27414;38100;7;399;870;1364;0;38;1;162;19
Kyrgyzstan;79168;241504;42597;81285;78702;35221;6314;41876;40509;21135;7936;34201;87624;8883;15534;151554;68603;164271;119323;5505;3913;13831;2891;86;3815;213;5122;390
Laos;32219;190928;47363;15285;58700;22100;73994;49983;135105;160331;11746;6997;250608;18630;6041;153427;131643;281720;54304;55748;38356;2982;4493;5725;37439;755;26960;3892
Latin America & Caribbean (WB);4055428;15113037;2064392;2395500;5343380;958363;1188305;1751003;3513111;2424033;1974783;614644;2701851;1207921;1616759;10601109;11647245;6726296;10097267;755494;723595;435888;615348;31978;257342;53922;451042;55689
Latvia;63201;322692;24653;72301;50814;31228;69;20116;1725;361;5202;28469;8285;16366;29107;156714;88795;71438;142200;46;311;7203;5406;0;37;0;75;15
Lebanon;77752;209855;7678;69650;7783;2448;1634;30240;21679;3379;2549;1344;3440;844;36892;162976;141139;80758;123440;497;1682;3869;2435;65;552;36;650;102
Lesotho;19764;66388;4911;4904;40376;11950;52175;12700;45549;37213;285858;2629;60771;6655;2836;56926;56846;80088;45104;38995;33978;8883;2412;1899;6400;462;8063;951
Liberia;13358;68717;6002;8254;30312;7496;124369;5242;90899;140658;47291;2136;106449;7179;3334;17989;43957;119698;29934;90935;67576;1766;2549;9884;29350;2145;25217;5985
Libya;66239;154682;5143;36974;4039;6644;2225;21269;30124;5424;2771;6120;3291;4788;22210;67378;96778;69187;104415;1649;1330;4049;5288;79;1087;68;872;168
Lithuania;64513;388874;30195;91323;85374;34065;137;20908;2441;510;6925;39312;6616;22527;37932;186685;89359;71023;167043;96;412;7499;6635;0;55;6;95;14
Luxembourg;4401;23736;1700;4110;8062;1660;0;1728;209;155;419;2020;15;1260;2301;21103;10870;4394;9704;0;33;1103;1168;0;0;0;0;0
Madagascar;43052;465766;86472;37498;94853;57464;551521;44584;430134;829938;64967;21672;639930;54624;5389;161356;157985;682487;126499;424798;315995;5154;9794;41178;163228;6978;93368;15582
Malawi;30596;256147;44614;18992;102305;28702;356454;23058;359182;445893;1025312;2140;452326;27177;4203;122928;152177;482237;79133;267723;220061;12203;8770;30896;116527;4174;64954;10507
Malaysia;248078;791077;176496;130645;77287;67840;18197;117915;47930;18595;39059;1696;9136;73029;63481;524868;466836;256585;327905;4317;8022;45281;27736;191;3322;70;1508;1850
Maldives;1150;7421;1767;1455;327;759;534;1083;3009;976;171;352;2227;591;552;5014;4315;3349;1672;324;190;273;147;72;208;8;89;75
Mali;59859;237142;23492;31217;46646;31224;503342;26319;697950;864733;133252;6710;589763;25752;8290;68693;138455;648047;90118;372474;272495;4799;11204;58492;121888;5933;89389;22987
Malta;5317;22736;2026;6475;2484;1543;0;1667;424;30;284;785;45;721;4546;16405;17003;5325;9258;0;51;453;683;0;0;0;0;0
Marshall Islands;234;1735;293;419;250;298;224;368;410;279;142;33;786;282;184;1179;2126;1018;1447;142;74;81;30;12;40;0;25;0
Mauritania;30007;63279;5521;9848;4420;9361;73193;6623;74727;79183;6247;5585;56919;6590;7266;19412;29379;86791;37037;55039;39170;204;3054;3437;12856;953;13979;4037
Mauritius;14937;69915;15818;11544;10827;9699;276;8905;4534;988;2349;1881;1773;4420;6742;29730;70808;16706;41964;240;115;2959;853;1;65;3;104;34
Mexico;865803;2291531;238995;287261;1061030;133950;161458;244020;613724;456385;302874;127958;357336;148318;200283;1236152;2824494;1208189;2161910;90013;67617;71156;105362;4895;36779;8080;67145;6081
Micronesia (country);680;4339;752;1028;767;750;395;922;603;466;517;120;2217;670;564;4198;5244;2896;4955;233;123;184;91;21;56;0;44;22
Middle East & North Africa (WB);6230462;12952810;491899;3244779;374020;602812;913383;1728787;3646168;1761305;163860;892104;884543;416932;1769832;5803640;6895508;7076791;7773539;684505;377869;283518;348336;60859;355109;27384;411891;43727
Moldova;91173;457893;26201;88067;140441;41203;699;30255;7655;3076;9410;51696;56261;27119;25389;202179;136237;146780;187925;558;2332;17221;4385;0;327;26;1122;72
Monaco;572;2915;201;593;387;70;0;220;0;0;60;2;0;30;441;2873;1111;570;1406;0;0;62;80;0;0;0;0;0
Mongolia;39604;148254;21890;31446;55901;27157;5305;16303;21526;20831;4301;16559;54806;18537;3945;78505;22992;94052;71282;4406;5448;7406;1636;50;4336;107;3614;519
Montenegro;16973;59790;19273;8220;13956;2589;12;6083;1061;128;750;2995;6172;576;2104;44876;31891;23112;30543;0;30;540;788;0;13;0;33;0
Morocco;490796;1753264;55508;418442;36229;58416;121098;167142;396389;184520;38464;129633;199527;56797;207546;505182;810189;687874;768434;65587;54290;20086;38380;8726;31714;4887;49539;7389
Mozambique;35431;463479;80348;41795;86910;64107;448687;34938;629298;752756;1180420;7143;770038;45334;6009;186563;236852;804723;111731;339374;290680;16156;18122;68016;169776;5805;114329;13244
Myanmar;546577;2199118;523986;191679;356496;348538;601288;368543;809810;929454;258180;5812;2090902;193780;80684;2024353;1457977;2614550;505532;445748;276102;155965;62896;52872;190910;3739;204096;12681
Namibia;18160;60372;4019;7160;25235;8268;22721;6516;27613;20151;131222;4009;35572;5323;4862;35522;43265;53393;33132;15792;14070;4588;1770;410;2432;264;3287;596
Nauru;42;514;60;107;90;67;21;97;103;89;30;0;48;68;30;371;382;94;441;0;0;27;0;0;2;0;0;0
Nepal;371971;483544;53220;68437;127349;65644;305763;110221;589649;433941;46995;52210;851887;54086;24989;789988;238410;1156793;122141;219359;152430;17725;29003;15690;96571;1270;43235;17759
Netherlands;204651;727179;47269;140111;200731;57671;206;64369;10337;4681;15381;22465;517;47080;41160;964062;371147;204122;312792;136;2039;13830;47092;0;5;0;82;43
New Zealand;10819;173170;12449;36431;34807;11850;212;10620;3637;482;3195;5167;194;10002;21021;152285;72776;11009;86485;54;491;5904;7815;0;12;0;57;29
Nicaragua;17447;125000;18549;15847;33531;14258;19924;10170;36011;31360;14941;6180;59483;11944;3422;36457;106723;76707;71995;14728;8288;1657;3921;245;4047;977;7859;366
Niger;63657;196928;18210;24704;19715;30578;888864;32325;587101;1388522;77157;723;729873;14580;6972;36971;80912;791922;60024;682732;486314;2593;8551;134140;370600;13830;174442;19681
Nigeria;1281405;2597201;196078;337632;1213132;246676;6520206;277954;5327703;8310327;1782013;12081;5091233;183337;120039;491914;1232347;6353525;888441;4714797;3728997;284304;89512;390967;2301862;86673;1514662;123243
Niue;3;168;30;30;13;30;0;30;0;0;0;0;12;30;30;90;180;35;128;0;0;0;0;0;0;0;0;0
North America (WB);2766714;15453503;1285010;3208754;3245970;1257754;11059;1222141;402864;137733;673261;366804;9010;824768;1623174;16542631;10264956;2750453;9923308;15966;28834;1737990;652290;0;736;247;3982;2907
North Korea;459892;1211895;428270;133192;242887;142657;9991;257743;184616;702698;44247;85361;1003349;59906;46924;1030307;443250;1424494;189336;8660;8233;47175;35495;4559;24276;395;9931;3020
North Macedonia;77999;218998;72627;36925;27772;11969;612;23116;6061;1383;2912;4565;25586;1905;10056;145129;131791;103169;112556;327;100;2599;1832;45;144;60;604;11
Northern Ireland;15982;94583;6330;19641;15844;9630;28;8805;1975;157;1644;11830;46;5880;18932;98476;40241;15998;42131;0;384;2815;2841;0;0;0;21;0
Northern Mariana Islands;254;1542;220;292;266;146;30;257;94;49;113;0;125;161;133;1271;1425;378;1725;0;0;92;41;0;0;0;0;0
Norway;29503;275461;17927;62664;30810;17354;164;18166;2026;1242;5019;17224;121;19748;33659;201056;139855;29514;86034;100;796;11009;19525;0;0;0;4;1
OECD Countries;13548703;59145136;6681165;11581454;15835170;4364240;242771;4813691;1999792;999249;1929073;2712403;821751;2589311;6208867;54221002;35858934;14266664;30510429;139118;262543;3132100;2436350;8379;66907;10473;111951;14991
Oman;38271;69801;2824;19199;1805;1910;993;7646;11440;1979;1569;9855;4355;3447;12366;24451;52140;42458;50015;264;1195;1224;4054;43;355;7;228;109
Pakistan;2157936;4625259;460694;1148536;393099;632908;2724559;821989;6851709;2962699;84837;408647;4796065;553304;344546;3750597;2702328;6816165;1648465;1666338;935565;178860;76389;123528;861620;43466;392161;122577
Palau;106;933;152;224;83;116;30;268;58;47;93;0;0;119;105;721;1125;109;1019;1;17;30;30;0;0;0;0;0
Palestine;39301;83936;3143;24710;4528;7499;1121;13596;38617;4739;793;5653;6076;5329;13658;46676;72842;45170;50416;493;1666;743;1174;555;982;28;641;138
Panama;15784;72510;11327;9661;17791;6781;3773;4610;10826;7988;17982;3130;9123;6967;2310;30653;66027;24815;35612;2486;1930;1240;2465;26;620;132;1136;218
Papua New Guinea;19993;124814;24587;33230;11702;25600;72660;51995;94017;132590;57961;7077;256658;18495;11019;146902;172257;276611;87319;55648;39217;5214;6891;2965;37624;1115;13072;4768
Paraguay;21305;134301;17314;18396;43534;8196;9046;14249;29094;14446;17451;3871;48827;11855;8438;99000;98135;69959;85373;5456;6570;3280;4359;145;1235;366;3336;737
Peru;192012;346817;60689;67948;167666;38107;51680;33017;182921;111082;92234;31767;157855;37301;26796;115758;241798;349555;270675;35911;60064;11614;20863;1207;21181;1295;15522;5364
Philippines;653248;2307761;555672;285887;875448;193247;336183;468235;815448;621146;156849;35857;1204994;197163;48859;2134894;1507228;1856344;978396;170386;160162;23195;46900;26992;135591;9209;79886;9917
Poland;982972;2918213;618334;665366;696854;300511;1344;266950;41944;5838;78667;305965;192790;84162;246035;2475104;1475609;1171373;1581867;385;3050;46356;83576;6;531;36;800;142
Portugal;102740;608258;38745;107944;239289;39015;439;59624;6486;3632;30633;24953;5941;12187;86883;402264;480030;108153;280959;452;2036;19160;18383;0;27;13;218;28
Puerto Rico;12426;154302;13936;33206;45374;11258;1353;11640;8154;2764;19358;1329;40;15685;30918;81019;178010;12445;139467;107;2864;6613;5036;0;34;0;149;46
Qatar;9541;12191;513;3822;1135;274;50;1997;2626;195;207;481;3;74;2598;6657;13189;9497;14525;6;57;496;868;0;18;0;34;30
Region of the Americas (WHO);6808758;30403057;3334654;5569032;8542032;2204412;1197975;2960865;3907494;2558885;2627884;979992;2710708;2016396;3207882;27058745;21727166;9463230;19874066;771339;749492;2167099;1262371;31980;258042;54162;454871;58549
Romania;554867;2965954;923895;414354;617778;186852;2576;224317;28232;26877;65182;221493;213688;21036;137763;1358052;687648;765189;1217343;1847;4135;66571;27291;59;3429;151;6468;323
Russia;3668855;18993444;2189969;4087598;6189590;1858200;13515;1326944;180136;62367;381167;1813479;256487;744886;1072993;9949109;5859266;3915474;8743796;11437;30223;734451;220610;5;9222;1076;15116;2000
Rwanda;37671;163495;33845;18375;174395;613;263547;18137;168951;323481;212780;6337;283866;19344;2379;123564;99766;320573;49735;191658;164549;2763;8454;16364;77699;2717;15797;7430
Saint Kitts and Nevis;281;2727;236;444;555;347;84;196;241;146;494;60;93;212;339;599;2352;376;1649;31;69;35;60;0;0;0;5;0
Saint Lucia;1605;5742;504;1029;1959;341;125;372;776;225;570;102;499;468;812;2393;6118;2109;3846;69;97;57;133;0;0;0;22;0
Saint Vincent and the Grenadines;1336;4815;432;995;1062;337;136;354;682;313;879;87;384;445;775;1345;5321;1718;3085;84;132;54;104;0;5;0;31;0
Samoa;968;7799;477;1639;802;984;234;1732;603;317;391;40;4365;1082;855;6328;7875;5311;6872;52;67;214;148;10;32;0;31;0
San Marino;177;1217;100;235;362;62;0;81;14;0;30;30;0;35;167;1095;575;172;576;0;0;30;48;0;0;0;0;0
Sao Tome and Principe;964;4532;371;607;1594;193;1345;171;1900;2282;404;30;4006;422;159;973;2046;4943;1802;973;1232;16;171;171;504;10;230;54
Saudi Arabia;367333;610069;23555;140131;15858;43959;16315;84525;113999;20585;10076;57859;30515;37142;107480;227861;395504;395456;499910;8965;9159;11893;45171;298;3586;439;3409;1081
Scotland;48385;355986;17493;79589;83455;38297;104;32347;4031;463;7971;42816;106;23138;48709;462765;241291;48395;181799;22;1064;16593;12503;0;0;0;42;14
Senegal;71853;249413;20582;29589;23923;30191;246411;42442;296984;260837;71471;1190;278157;17478;13317;81900;157949;349199;92531;177773;132633;2620;9081;14751;44832;2824;38824;12797
Serbia;356994;1205604;380114;188642;167547;58474;391;112626;17807;2023;23165;61968;135240;49089;57647;734319;630292;490184;557706;138;555;17060;11528;8;222;1;462;58
Seychelles;843;4610;868;470;1268;303;120;466;271;96;305;94;47;347;210;2551;2590;894;1771;45;77;146;77;0;0;0;0;0
Sierra Leone;31452;145653;11546;14925;50609;15466;143510;24343;196451;262148;62028;354;262977;12573;5220;56105;49411;293890;33139;106728;111060;1360;5063;10574;51156;1549;37849;7674
Singapore;31231;85467;22362;16772;6752;6015;136;7702;1486;384;3986;5142;494;3795;8606;75941;60061;31641;34988;49;1324;2521;1951;0;14;0;104;10
Slovakia;135691;496326;163058;106115;101833;44640;134;42908;6160;1192;7099;35970;2564;28346;29869;269194;179323;137869;248399;35;584;10179;10446;0;148;0;181;18
Slovenia;33258;130293;42051;18995;38644;5546;30;11005;1005;84;2221;5715;3987;6040;6835;89166;54754;36977;67985;2;162;4515;7643;0;5;0;9;0
Solomon Islands;1719;20000;3997;5812;1276;4407;6936;5980;4525;5157;1625;1451;30251;4770;1563;22465;20324;31970;18583;5472;1816;872;563;341;983;30;488;359
Somalia;15572;220112;42547;27860;18770;38206;437402;33894;331217;920925;97260;3329;655254;29973;2662;120695;124034;670279;39190;328436;290578;2573;8428;98371;157456;9711;111511;19620
South Africa;655864;1633608;97596;132275;907752;226203;444215;238305;612733;441527;4348768;97979;348870;113819;155082;1186554;1253660;1001595;1310716;280075;304099;171562;54383;9838;65057;12258;127928;12990
South Asia (WB);22770101;40136229;4710786;6968674;8270900;6963041;26574738;7350847;33942270;19695813;2952977;4156377;37319165;4279061;2598838;31824818;24409815;58156546;11661570;18888311;10699693;1986902;2423592;910123;5046731;132104;2342477;840768
South Korea;530592;1133251;344642;134354;757790;131027;3219;119622;30834;7142;39610;35524;3414;22707;114534;1314376;849754;530618;442213;1068;4999;45723;80447;1;128;63;468;374
South Sudan;35987;114521;22158;11743;14977;10032;196081;17786;263461;452930;109197;1389;282637;11493;1930;55348;63921;317603;49047;148600;143936;2205;4453;14187;67933;818;43649;4819
South-East Asia Region (WHO);24354995;49386907;7636395;6858013;9855354;7905618;26421916;8364277;29405551;19717927;4007309;3809670;38067511;4827919;2812947;37721197;28888858;60556601;13795854;18784051;10401876;2416891;2776018;855610;4521948;102353;2360124;773269
Spain;409263;2118954;80112;376327;626769;66876;987;179052;20196;6527;77570;52840;17538;53616;259126;2024030;1532489;422274;1112277;472;3808;55420;63207;0;35;29;306;61
Sri Lanka;158238;729115;167296;105666;202988;92455;37480;68188;59591;20966;13795;4387;254218;66368;34163;338595;622249;411477;278649;26181;14925;6709;28626;847;2850;74;867;883
Sub-Saharan Africa (WB);4605207;15976263;1746363;1933694;6780436;1812969;22032100;1768411;22293072;30692749;24409603;463451;24467577;1460762;791018;6406956;8997288;28994520;6427566;16263661;13469063;1059911;595526;2004635;7066896;274911;4545950;680320
Sudan;262929;1208343;42605;282587;39815;92649;467554;142356;892696;797914;60478;106830;744501;85858;205683;415674;531878;1003930;449180;366575;227685;36291;22708;67982;190516;5800;132922;18628
Suriname;5910;17260;1594;2653;4773;1678;1251;2120;5012;1395;3649;162;2558;1685;2034;10390;15978;8474;11843;600;685;318;473;7;77;42;373;52
Sweden;49859;656552;49703;147770;108145;47229;333;26958;3127;2479;9854;36557;341;47254;60141;433042;318164;50057;243081;221;1171;13169;30767;0;2;0;34;4
Switzerland;76231;361194;28183;85242;116765;26803;89;26201;4209;1408;8748;9395;92;24461;54129;312032;210453;75757;158083;45;656;17213;29682;0;3;0;59;5
Syria;259220;567097;21737;180110;17945;29711;8423;71468;105603;40769;2930;4455;7978;36620;89841;319547;339850;265989;340650;4720;5383;5797;6460;1311;10516;344;4429;992
Taiwan;278331;606770;122051;108025;308509;43752;798;120184;13554;5167;32918;4276;38636;22374;59315;655495;557785;314198;316261;326;4855;55473;32961;0;98;2;184;120
Tajikistan;96909;307358;46879;78344;40117;38976;48601;42929;78582;118955;4782;37092;132476;11165;11655;121694;121835;227592;78609;38156;23940;7795;2097;1725;22104;1332;24091;499
Tanzania;121767;752971;171499;55906;484228;72651;634421;98250;972094;1095905;2021173;2656;1246866;70321;11690;440612;361180;1367412;283775;467708;518884;53470;26031;37483;252301;5272;134516;35216
Thailand;733799;1461195;364240;178684;925972;125562;139041;217088;140908;70333;570199;3077;408959;159970;89372;1573423;1165971;1136820;732936;23121;64539;289721;89204;1386;7366;620;10831;2301
Timor;3162;26175;6044;2452;4372;3750;9158;5470;19708;27791;4858;711;31160;2808;862;16591;13926;34269;3468;7270;3373;911;559;1375;6814;164;2730;536
Togo;30350;111009;9418;13341;32945;17069;194812;12983;152432;187880;154273;358;151563;12024;3980;54582;43117;181286;40478;142374;101244;5805;3634;12087;32741;1790;31607;4415
Tokelau;0;82;14;26;0;0;0;30;0;0;0;0;0;0;0;45;90;0;60;0;0;0;0;0;0;0;0;0
Tonga;501;2865;529;607;254;419;85;714;478;253;239;60;1326;332;406;2932;3774;1813;2933;44;53;201;72;2;20;0;18;12
Trinidad and Tobago;21470;66436;5208;14994;9396;8587;700;6948;6235;1385;9344;558;146;6267;12768;29096;79473;21606;56854;318;760;720;1067;0;27;11;170;56
Tunisia;172374;425658;15457;114433;14407;20278;2897;58841;68219;10676;5289;9607;9277;12241;32192;249072;279983;180731;229839;1321;4084;7359;10752;83;1671;57;2205;485
Turkey;1093616;2678729;66322;712505;107294;43871;38848;431020;573797;178256;30584;41479;71986;7914;349208;2170363;1488961;1153264;1723444;20093;45662;22892;59489;3436;26885;1622;34326;3857
Turkmenistan;93375;258530;36203;73802;45740;22412;12098;44650;33033;50637;5467;41205;763;7021;11791;111833;80334;93935;136924;9490;8277;10288;1101;140;8084;321;9908;348
Tuvalu;51;614;116;133;34;92;41;150;72;60;34;4;165;90;56;468;650;215;458;22;11;30;0;0;4;0;0;0
Uganda;85955;425300;76065;39882;389875;9157;424829;33067;799633;626601;1628205;1416;768869;44628;6559;164712;263712;852908;122837;316086;287147;7885;18650;32154;134462;5360;67201;11910
Ukraine;1750288;7030103;419432;2081358;1351883;784353;2029;516775;50939;10207;179828;874799;182440;244220;339047;3688713;1970830;1925547;3295959;1460;8022;252969;58468;0;1434;91;1915;439
United Arab Emirates;44523;76653;3586;18356;8752;3492;514;11822;4569;558;1950;322;20;2666;14183;44754;53148;44000;87767;41;495;12313;4336;1;84;0;62;43
United Kingdom;777587;3635595;228934;773281;587109;363439;1171;319841;55390;5228;66968;438036;991;230929;490896;4220418;2052310;776815;1672380;261;13334;108793;113395;0;108;30;571;171
United States;2605620;14344780;1166995;2952413;2953672;1151518;9790;1124775;377689;129859;640102;357715;7576;762446;1482528;15095141;9627154;2588614;9234348;14550;26165;1645008;574615;0;696;234;3777;2829
United States Virgin Islands;637;6340;543;1336;1346;214;30;423;275;100;474;30;44;446;632;2399;5100;685;5105;0;38;112;144;0;0;0;0;0
Uruguay;24489;167994;24367;37131;48104;14674;1713;25269;8404;3738;10075;13902;4720;14856;11261;153333;64555;29144;84593;493;1265;6487;5932;8;159;23;290;46
Uzbekistan;617136;1489193;219432;486750;214051;158826;22313;171404;172283;228895;29897;244223;217509;19408;69622;472814;678126;831307;779561;21039;37093;56190;10648;475;40500;762;47423;1341
Vanuatu;892;11117;1600;1884;888;957;1615;1234;1972;1396;478;169;7842;1255;391;5149;6766;8737;5848;1197;650;327;141;81;225;0;173;59
Venezuela;235273;803677;120164;106539;212118;46197;38435;72756;133203;64275;92191;66762;5948;62582;20092;371876;573838;240811;452028;14964;14595;8901;23053;464;5683;1426;15462;1712
Vietnam;733581;3404342;769876;235162;740709;361555;87115;445200;400215;184765;173996;41693;1447459;162872;106291;2204791;1907268;2170835;511440;62770;84502;186149;162209;6258;52747;484;30959;1992
Wales;39735;193376;12997;44038;28826;22907;79;17037;2437;277;3487;18523;85;13683;45896;244642;84928;39715;86064;20;749;6617;6608;0;0;0;30;0
Western Pacific Region (WHO);36474500;69448746;23678726;9207991;17420947;8463037;1411393;13664429;5436100;4483668;2179844;2578165;28466000;1835574;3721186;74828468;32520700;63188739;18040186;964670;1253434;3328464;2404614;77770;892420;37577;762691;72681
World;98091458;257367045;46585308;44370320;62493376;27739712;55131188;35325940;74001393;63927000;35088721;15031257;102914550;14049145;18515971;204727035;134309929;196972605;102311937;39450411;27643927;11678105;9236100;3220275;14350615;555196;9216639;1790459
World Bank High Income;12488378;56225760;6611483;11019301;15139602;4333734;65921;4437483;995544;403789;1696145;2642322;472630;2547665;5949170;52241161;33167202;12877973;28040187;39877;172705;3139970;2379376;413;7749;1290;15437;6720
World Bank Low Income;2461698;10639863;1649839;1364711;3575699;1319705;12139832;1352202;13857175;19454713;12388158;417455;18412099;1118204;392921;5219099;5760352;20715098;3171074;9129611;7721285;351853;403215;1359201;4130702;139131;2293326;481698
World Bank Lower Middle Income;35435727;81970040;10547863;14001098;16031918;11027747;40559312;12398825;49230316;37904542;11964868;6171032;55360121;6697394;5052763;53629461;44514077;88814613;28379535;28788491;17890907;3554366;3433915;1786254;9296972;322633;5686844;1186896
World Bank Upper Middle Income;47672394;108393410;27759511;17960115;27717908;11046411;2341944;17120148;9882391;6128640;9010670;5796463;28613924;3674774;7106025;93543305;50767996;74476160;42651036;1475333;1845629;4627952;3014322;73007;908046;91725;1215319;113967
Yemen;180764;593013;24553;174482;23540;70255;353296;108684;699645;518893;10112;71992;423873;70550;68063;353755;223994;602083;191741;261819;145298;8187;18081;38263;127009;9491;131184;16070
Zambia;54298;196980;41375;18064;152422;42192;293806;27071;274558;396928;935120;4307;333313;25281;6174;118503;130331;386508;90017;217009;186762;11392;8520;22522;103413;3299;59565;6884
Zimbabwe;64845;278468;25666;32501;128581;44374;118648;38234;241713;161580;1532484;3789;268403;31136;7453;227935;200676;332608;125165;79759;109595;46818;11093;6178;21941;674;27427;6325
(vide);;;;;;;;;;;;;;;;;;;;;;;;;;;;
